Country Name,Country Code,Year,Value
Aruba,ABW,2013,102911
Andorra,AND,2013,79218
Afghanistan,AFG,2013,30551674
Angola,AGO,2013,21471618
Albania,ALB,2013,2773620
Andean Region,ANR,,
Arab World,ARB,2013,369761523
United Arab Emirates,ARE,2013,9346129
Argentina,ARG,2013,41446246
Armenia,ARM,2013,2976566
American Samoa,ASM,2013,55165
Antigua and Barbuda,ATG,2013,89985
Australia,AUS,2013,23130900
Austria,AUT,2013,8473786
Azerbaijan,AZE,2013,9416598
Burundi,BDI,2013,10162532
Belgium,BEL,2013,11195138
Benin,BEN,2013,10323474
Burkina Faso,BFA,2013,16934839
Bangladesh,BGD,2013,156594962
Bulgaria,BGR,2013,7265115
Bahrain,BHR,2013,1332171
"Bahamas, The",BHS,2013,377374
Bosnia and Herzegovina,BIH,2013,3829307
Belarus,BLR,2013,9466000
Belize,BLZ,2013,331900
Bermuda,BMU,2013,65024
Bolivia,BOL,2013,10671200
Brazil,BRA,2013,200361925
Barbados,BRB,2013,284644
Brunei Darussalam,BRN,2013,417784
Bhutan,BTN,2013,753947
Botswana,BWA,2013,2021144
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,2013,4616417
Canada,CAN,2013,35158304
East Asia and the Pacific (IFC classification),CEA,,
Central Europe and the Baltics,CEB,2013,104199533
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,2013,8081482
Channel Islands,CHI,2013,162018
Chile,CHL,2013,17619708
China,CHN,2013,1357380000
Cote d'Ivoire,CIV,2013,20316086
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,2013,22253959
"Congo, Rep.",COG,2013,4447632
Colombia,COL,2013,48321405
Comoros,COM,2013,734917
Cabo Verde,CPV,2013,498897
Costa Rica,CRI,2013,4872166
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,2013,7002680
Cuba,CUB,2013,11265629
Curacao,CUW,2013,153500
Cayman Islands,CYM,2013,58435
Cyprus,CYP,2013,1141166
Czech Republic,CZE,2013,10521468
Germany,DEU,2013,80621788
Djibouti,DJI,2013,872932
Dominica,DMA,2013,72003
Denmark,DNK,2013,5613706
Dominican Republic,DOM,2013,10403761
Algeria,DZA,2013,39208194
East Asia & Pacific (developing only),EAP,2013,2005808800
East Asia & Pacific (all income levels),EAS,2013,2248641459
Europe & Central Asia (developing only),ECA,2013,272208706
Europe & Central Asia (all income levels),ECS,2013,898926561
Ecuador,ECU,2013,15737878
"Egypt, Arab Rep.",EGY,2013,82056378
Euro area,EMU,2013,334048965
Eritrea,ERI,2013,6333135
Spain,ESP,2013,46647421
Estonia,EST,2013,1324612
Ethiopia,ETH,2013,94100756
European Union,EUU,2013,506739265
Fragile and conflict affected situations,FCS,2013,446372465
Finland,FIN,2013,5439407
Fiji,FJI,2013,881065
France,FRA,2013,66028467
Faeroe Islands,FRO,2013,49469
"Micronesia, Fed. Sts.",FSM,2013,103549
Gabon,GAB,2013,1671711
United Kingdom,GBR,2013,64097085
Georgia,GEO,2013,4476900
Ghana,GHA,2013,25904598
Guinea,GIN,2013,11745189
"Gambia, The",GMB,2013,1849285
Guinea-Bissau,GNB,2013,1704255
Equatorial Guinea,GNQ,2013,757014
Greece,GRC,2013,11032328
Grenada,GRD,2013,105897
Greenland,GRL,2013,56483
Guatemala,GTM,2013,15468203
Guam,GUM,2013,165124
Guyana,GUY,2013,799613
High income,HIC,2013,1306132071
"Hong Kong SAR, China",HKG,2013,7187500
Honduras,HND,2013,8097688
Heavily indebted poor countries (HIPC),HPC,2013,673564609
Croatia,HRV,2013,4252700
Haiti,HTI,2013,10317461
Hungary,HUN,2013,9897247
Indonesia,IDN,2013,249865631
Isle of Man,IMN,2013,85888
India,IND,2013,1252139596
Not classified,INX,,
Ireland,IRL,2013,4595281
"Iran, Islamic Rep.",IRN,2013,77447168
Iraq,IRQ,2013,33417476
Iceland,ISL,2013,323002
Israel,ISR,2013,8059400
Italy,ITA,2013,59831093
Jamaica,JAM,2013,2715000
Jordan,JOR,2013,6459000
Japan,JPN,2013,127338621
Kazakhstan,KAZ,2013,17037508
Kenya,KEN,2013,44353691
Kyrgyz Republic,KGZ,2013,5719500
Cambodia,KHM,2013,15135169
Kiribati,KIR,2013,102351
St. Kitts and Nevis,KNA,2013,54191
"Korea, Rep.",KOR,2013,50219669
Kosovo,KSV,2013,1824000
Kuwait,KWT,2013,3368572
Latin America & Caribbean (developing only),LAC,2013,588019503
Lao PDR,LAO,2013,6769727
Lebanon,LBN,2013,4467390
Liberia,LBR,2013,4294077
Libya,LBY,2013,6201521
St. Lucia,LCA,2013,182273
Latin America & Caribbean (all income levels),LCN,2013,615332338
Latin America and the Caribbean,LCR,,
Least developed countries: UN classification,LDC,2013,898287691
Low income,LIC,2013,848667515
Liechtenstein,LIE,2013,36925
Sri Lanka,LKA,2013,20483000
Lower middle income,LMC,2013,2561088084
Low & middle income,LMY,2013,5818411891
Lesotho,LSO,2013,2074465
Lithuania,LTU,2013,2956121
Luxembourg,LUX,2013,543202
Latvia,LVA,2013,2013385
"Macao SAR, China",MAC,2013,566375
St. Martin (French part),MAF,2013,31264
Morocco,MAR,2013,33008150
Mexico and Central America,MCA,,
Monaco,MCO,2013,37831
Moldova,MDA,2013,3559000
Madagascar,MDG,2013,22924851
